#,Operador,DO,DF
1,=,T1,"""Usuario"""
2,=,mnmNombre,T1
3,=,T1,"""Iteracion numero: """
4,=,mnmMensaje,T1
5,=,T1,"""--------------------"""
6,=,mnmSeparador,T1
7,=,T1,2
8,=,mnmContador,T1
9,=,T1,5
10,=,mnmLimite,T1
11,=,T1,1
12,=,mnmPaso,T1
13,=,T1,10.5
14,=,mnmValorActual,T1
15,=,T1,20.0
16,=,mnmTope,T1
17,=,T1,mnmContador
18,*,T1,7
19,=,T2,7
20,*,T2,mnmContador
21,=,T3,T1
22,+,T3,T2
23,=,mnmTope,T3
24,=,T1,1
25,=,mnmContador,T1
26,=,T1,mnmContador
27,<=,T1,mnmLimite
28, ,False,43
29, ,True,30
30,=,T2,mnmValorActual
31,>,T2,mnmPuntoCritico
32, ,True,34
33, ,False,43
34,=,T3,8
35,/,T3,3
36,=,T4,78
37,+,T4,T3
38,=,mnmContador,T4
39,=,T1,mnmContador
40,+,T1,mnmPaso
41,=,mnmContador,T1
42,JMP,26,
43,=,T1,20.0
44,/,T1,mnmTope
45,=,mnmTope,T1
